player,position,team,week,season,knn_fps
David Montgomery,RB,DET,1,2025,11.7
Dameon Pierce,RB,HOU,1,2025,2.8
Alvin Kamara,RB,NO,1,2025,9.3
Zamir White,RB,LV,1,2025,1.3
Chuba Hubbard,RB,CAR,1,2025,16.2
Kenneth Gainwell,RB,PIT,1,2025,8.7
Devin Singletary,RB,NYG,1,2025,1.3
Kyle Juszczyk,RB,SF,1,2025,3.8
Bhayshul Tuten,RB,JAX,1,2025,2.6
Kyren Williams,RB,LA,1,2025,15
Tony Pollard,RB,TEN,1,2025,9.9
Braelon Allen,RB,NYJ,1,2025,2.9
J.K. Dobbins,RB,DEN,1,2025,12.8
AJ Dillon,RB,PHI,1,2025,1.8
Blake Corum,RB,LA,1,2025,2.1
Samaje Perine,RB,CIN,1,2025,3.2
Jaylen Warren,RB,PIT,1,2025,12.4
LeQuint Allen Jr.,RB,JAX,1,2025,2.3
Ty Johnson,RB,BUF,1,2025,4.4
Jacory Croskey-Merritt,RB,WAS,1,2025,7.9
Isiah Pacheco,RB,KC,1,2025,7.4
Tyler Badie,RB,DEN,1,2025,10.3
Rico Dowdle,RB,CAR,1,2025,5.4
Ulysses Bentley IV,RB,IND,1,2025,0.5
Tyrone Tracy Jr.,RB,NYG,1,2025,11.1
Emanuel Wilson,RB,GB,1,2025,0.5
Adam Prentice,RB,DEN,1,2025,1.4
Cam Skattebo,RB,NYG,1,2025,5.7
Travis Etienne,RB,JAX,1,2025,13.5
Trevor Etienne,RB,CAR,1,2025,0.5
Devin Neal,RB,NO,1,2025,0.9
Aaron Jones,RB,MIN,1,2025,9.2
Kendre Miller,RB,NO,1,2025,2.3
Tank Bigsby,RB,JAX,1,2025,3.2
Bucky Irving,RB,TB,1,2025,13.4
Sean Tucker,RB,TB,1,2025,0.5
Trey Benson,RB,ARI,1,2025,6.4
DJ Giddens,RB,IND,1,2025,8.9
Saquon Barkley,RB,PHI,1,2025,21.4
Jeremy McNichols,RB,WAS,1,2025,2.2
Omarion Hampton,RB,LAC,1,2025,11
James Cook,RB,BUF,1,2025,18
Bijan Robinson,RB,ATL,1,2025,19.7
Christian McCaffrey,RB,SF,1,2025,30.6
Will Shipley,RB,PHI,1,2025,1.7
Woody Marks,RB,HOU,1,2025,1.2
Raheim Sanders,RB,CLE,1,2025,3.6
Rhamondre Stevenson,RB,NE,1,2025,8.2
Dare Ogunbowale,RB,HOU,1,2025,3.8
Tyler Allgeier,RB,ATL,1,2025,7
Chase Brown,RB,CIN,1,2025,18.8
Chris Brooks,RB,GB,1,2025,2.3
Josh Jacobs,RB,GB,1,2025,14.5
Derrick Henry,RB,BAL,1,2025,11.6
Kenneth Walker III,RB,SEA,1,2025,10.3
Jonathan Taylor,RB,IND,1,2025,17.7
Miles Sanders,RB,DAL,1,2025,3.4
Ollie Gordon II,RB,MIA,1,2025,2.5
Jerome Ford,RB,CLE,1,2025,7.2
Kaleb Johnson,RB,PIT,1,2025,0.5
Alec Ingold,RB,MIA,1,2025,2.7
Ray Davis,RB,BUF,1,2025,2.1
Najee Harris,RB,LAC,1,2025,1.9
D'Andre Swift,RB,CHI,1,2025,16.8
TreVeyon Henderson,RB,NE,1,2025,11.3
Ashton Jeanty,RB,LV,1,2025,14.5
Zach Charbonnet,RB,SEA,1,2025,9.6
De'Von Achane,RB,MIA,1,2025,9.2
Jahmyr Gibbs,RB,DET,1,2025,19.7
Isaiah Davis,RB,NYJ,1,2025,1.1
Kareem Hunt,RB,KC,1,2025,6.9
Julius Chestnut,RB,TEN,1,2025,2.1
RJ Harvey,RB,DEN,1,2025,4.6
Nick Chubb,RB,HOU,1,2025,7.8
Javonte Williams,RB,DAL,1,2025,15.2
Kyle Monangai,RB,CHI,1,2025,1.5
Rasheen Ali,RB,BAL,1,2025,0.7
Rachaad White,RB,TB,1,2025,2.8
Brian Robinson,RB,SF,1,2025,7.1
James Conner,RB,ARI,1,2025,16.8
Breece Hall,RB,NYJ,1,2025,14.4
Justice Hill,RB,BAL,1,2025,4.2
Antonio Gibson,RB,NE,1,2025,1.8
Dylan Sampson,RB,CLE,1,2025,17.9
Jordan Mason,RB,MIN,1,2025,9.5
Austin Ekeler,RB,WAS,1,2025,8.4
